geoid10,population,hospital,library,school,supermarket
245100203002025,7,2245.5,1840.0,1123.8,962.0
245100203003000,16,1730.8,1534.7,537.5,216.6
245100203003001,46,1726.2,1753.7,591.1,433.0
245100203003002,77,1784.9,1778.1,649.8,491.7
245100203003003,23,1869.1,1683.7,739.8,586.0
245100203003004,39,1936.7,1617.8,807.4,653.6
245100203003006,2,2068.6,1676.6,939.2,786.6
245100203003007,37,1992.4,1817.1,857.3,699.1
245100203003008,56,1944.6,1938.9,809.5,651.3
245100203003009,164,1877.0,1844.1,741.5,584.0
245100203003011,334,2020.7,2048.4,885.3,727.7
245100203003012,332,1963.3,1991.0,827.9,670.3
245100203003014,37,2005.2,1998.8,870.1,710.8
245100301001000,73,1299.0,758.7,313.2,611.7
245100301001003,15,1588.5,600.8,327.4,701.6
245100301001004,195,1686.6,818.6,272.1,620.0
245100301001005,98,1659.9,791.9,210.9,833.0
245100301001006,130,1718.0,850.0,268.9,891.0
245100301001007,95,1587.7,719.7,138.6,687.2
245100301001008,197,1649.4,789.1,208.1,617.0
245100301001009,27,1631.0,806.7,225.6,598.6
245100301001010,232,1530.8,845.1,264.0,561.2
245100301001011,134,1453.2,912.9,335.7,489.5
245100301001012,42,1454.2,913.9,336.7,488.5
245100301001013,54,1565.0,1096.0,435.7,422.7
245100301001014,2,1615.7,1050.2,469.1,468.5
245100301001015,116,1638.0,1027.9,446.8,490.8
245100301001016,166,1662.6,1004.1,423.1,515.4
245100301001017,54,1771.0,903.0,321.9,642.5
245100301001018,140,1791.6,923.6,342.6,558.9
245100301001019,63,1848.8,980.8,411.3,490.2
245100301001020,28,1780.3,907.2,474.8,404.3
245100301001021,24,1693.7,825.7,279.2,612.8
245100301001023,23,1890.9,1079.3,531.8,364.9
245100301001025,18,1849.4,981.4,400.3,499.0
245100301001026,198,1842.7,1044.5,463.5,559.2
245100301001027,50,1746.5,1214.5,617.1,587.4
245100301001029,20,1855.7,1062.0,568.6,329.6
245100301002000,43,957.1,500.6,655.2,1041.2
245100301002001,123,928.7,436.2,557.9,992.7
245100301002002,64,1028.9,294.1,426.6,1094.5
245100301002003,2,1088.9,220.9,360.2,1145.4
245100301002004,7,1102.9,234.9,346.2,1131.4
245100301002005,52,1174.5,306.5,397.8,1127.8
245100301002009,8,1253.8,385.8,383.1,1048.5
245100301002010,2,1187.9,319.9,326.0,1111.3
245100301002011,30,1176.7,353.3,289.1,1013.0
245100301002012,59,1183.4,420.3,340.8,946.3
245100301002013,4,1041.6,530.3,470.2,863.6
245100301002015,202,872.1,476.2,630.8,956.2
245100301002016,45,1275.6,407.7,241.5,1027.8
245100301002017,41,1288.3,420.3,352.5,1023.0
245100301002019,18,1275.3,407.3,241.1,1027.5
245100301002022,45,1069.6,610.0,443.8,756.3
245100301002023,25,1017.1,585.9,496.8,807.9
245100301002024,66,1119.4,657.8,395.3,711.2
245100301002026,1,1322.5,454.6,193.7,984.4
245100301002028,34,1430.1,562.1,247.0,854.3
245100302001000,220,1322.8,381.6,637.9,1059.0
245100302001001,8,1195.1,509.0,714.6,1026.7
245100302001005,14,917.2,787.0,956.4,971.6
245100302001010,5,990.0,947.7,894.5,880.6
245100302001011,2,1032.8,853.6,832.1,847.2
245100302001012,29,1111.2,775.2,753.7,807.8
245100302001013,10,1225.7,660.6,645.4,831.3
245100302001014,25,1378.4,507.9,517.4,917.1
245100302001016,26,1587.7,697.7,393.4,717.1
245100302001017,60,1398.6,712.1,468.0,702.2
245100302001018,25,1317.8,674.8,547.0,786.0
245100302001019,32,1254.7,737.9,610.1,732.4
245100302001020,51,1181.7,927.7,695.2,698.3
245100302001021,14,1080.3,892.3,799.6,805.3
245100302001027,26,1336.7,767.9,529.9,692.9
245100302001028,107,1190.0,931.0,686.9,690.0
245100302001029,102,1355.7,898.8,594.5,577.1
245100302001030,71,1394.4,792.0,548.0,691.5
245100302001031,212,1427.5,895.3,511.3,491.5
245100302001032,5,1506.3,865.0,432.5,489.3
245100302001033,8,1691.7,704.1,306.6,680.8
245100302001036,6,1326.6,1084.9,742.1,635.8
245100302001037,64,1270.2,1028.5,702.2,595.8
245100302001040,6,1488.7,1183.5,751.0,485.9
245100302001041,25,1429.5,1041.8,609.3,450.5
245100302001042,45,1498.8,970.8,538.3,446.5
245100302001043,24,1544.2,904.2,471.7,449.9
245100302002000,15,1772.6,801.6,369.1,531.9
245100302002001,69,1634.0,949.1,516.7,391.0
245100302002002,83,1521.2,1030.1,597.7,426.9
245100302002003,22,1505.7,1116.3,683.8,374.3
245100302002004,17,1467.1,1161.9,729.4,398.9
245100302002007,188,1466.4,1352.9,920.4,494.5
245100302002013,1,1321.1,1575.1,1142.6,272.7
245100302002017,69,1487.3,1353.9,921.4,142.7
245100302002018,249,1358.7,1557.7,1125.3,255.3
245100302002023,7,1572.3,1242.5,810.0,342.8
245100302002024,24,1583.7,1142.4,709.9,296.3
245100302002025,66,1596.8,1056.0,623.5,350.5
245100302002026,83,1684.8,938.7,506.3,363.7
245100302002028,18,1676.5,1160.2,727.7,224.0
245100302002029,14,1501.6,1421.3,988.8,205.4
245100302002030,35,1600.6,1304.4,871.9,182.5
245100302002031,9,1695.1,1149.3,716.8,200.1
245100302002032,2,1750.7,1086.8,654.4,224.6
245100302002036,6,1494.2,1360.2,927.8,98.5
245100302002038,128,1370.2,1458.3,1025.8,155.8
245100302002040,7,1339.3,1498.8,1066.4,248.3
245100302002043,8,1637.5,1201.1,768.6,235.2
245100401001006,114,329.0,662.8,1547.4,442.3
245100401001012,11,365.3,134.2,1287.9,276.3
245100401001021,241,253.5,676.1,1679.7,366.8
245100401001022,45,295.2,717.7,1566.3,408.5
245100401001026,1,655.6,1039.4,1209.2,768.9
245100401001035,148,480.3,896.9,1469.6,578.8
245100401001042,228,726.1,1142.7,1355.1,824.6
245100401001056,5,439.3,812.2,1566.5,494.1
245100401001059,5,250.8,508.5,1683.7,190.4
245100401001062,14,218.9,444.1,1619.2,134.8
245100401001063,40,279.6,198.5,1372.3,189.8
245100401001065,2,383.7,632.7,1634.9,314.6
245100401001066,1,838.0,811.9,1585.1,730.8
245100401001068,262,520.6,965.4,1375.8,903.6
245100401001070,53,402.2,983.3,1254.4,921.5
245100401001071,59,393.0,994.6,1248.2,932.8
245100401001072,145,445.3,1069.6,1287.8,1007.8
245100401001073,308,506.5,1071.8,1361.8,1010.0
245100401001077,3,645.3,1019.1,1345.7,701.0
245100401001109,6,717.4,926.6,1380.7,863.1
245100401002000,29,463.0,111.1,1176.7,387.5
245100401002001,7,627.5,262.5,1095.5,473.8
245100401002004,32,737.7,414.3,927.6,624.6
245100401002005,10,748.4,455.1,938.3,665.4
245100401002006,16,677.0,511.4,866.9,730.3
245100401002007,7,712.8,604.3,792.5,875.2
245100401002009,22,695.9,542.0,960.0,652.3
245100401002011,79,692.2,448.9,882.1,659.2
245100401002014,11,673.9,357.7,1042.7,463.4
245100401002015,27,606.1,294.4,1106.2,395.6
245100401002016,15,522.0,157.9,1173.7,368.2
245100401002017,75,327.7,152.4,1326.2,232.2
245100401002018,1,431.8,67.8,1221.8,342.8
245100401002019,1,660.3,578.5,1043.6,559.6
245100401002022,12,576.6,423.3,1285.9,366.1
245100401002023,39,491.6,335.5,1359.0,281.1
245100401002024,7,386.7,217.7,1392.9,176.2
245100401002025,39,337.7,263.0,1438.1,127.2
245100401002026,37,428.7,176.9,1276.8,221.5
245100401002028,2,478.4,760.4,1058.4,741.6
245100401002029,277,350.7,287.6,1462.7,140.2
245100401002032,200,593.2,616.9,1232.0,557.8
245100401002036,884,421.6,437.9,1557.1,252.7
245100401002037,3,663.5,517.2,1377.2,458.1
245100401002044,278,526.0,665.0,1390.2,600.4
245100401002045,2,612.5,563.6,1434.3,498.9
245100401002049,3,482.5,620.7,1713.5,313.6
245100401002051,192,485.3,797.5,1312.1,735.6
245100401002055,8,716.0,239.7,1013.1,562.2
245100402001000,3,714.2,606.9,695.5,802.6
245100402001005,5,700.3,637.2,779.2,849.6
245100402001006,42,574.3,663.7,859.1,767.9
245100402001008,2,311.0,919.1,1004.1,912.0
245100402001013,23,221.0,1097.6,1148.5,1087.5
245100402001015,285,248.5,990.3,1072.5,971.5
245100402001016,166,416.9,929.4,1126.5,910.6
245100402001020,66,322.3,1171.9,1249.8,1161.7
245100402001024,8,141.9,1037.3,955.0,1239.1
245100402001025,115,318.7,1081.2,1173.9,1086.5
245100402001031,123,272.2,677.4,776.4,1207.1
245100601001000,120,1804.0,468.3,748.0,301.4
245100601001001,255,1780.8,435.7,713.5,320.6
245100601001002,17,1706.9,292.4,496.6,377.1
245100601001003,100,1585.1,294.4,498.6,499.0
245100601001004,38,1654.4,172.9,443.8,501.3
245100601001006,174,1816.2,214.3,573.8,402.6
245100601001007,21,1953.2,325.5,712.8,309.9
245100601002000,202,2008.4,380.8,686.8,346.5
245100601002001,142,1949.8,309.2,626.8,418.9
245100601002002,164,1913.9,249.8,568.7,476.8
245100601002003,148,1848.1,184.1,501.2,543.6
245100601002004,92,1978.6,317.1,422.9,674.6
245100601002005,94,2044.9,383.4,490.8,607.7
245100601002006,121,2083.4,441.6,548.4,549.2
